time,processid,virtual,private
10:22.1,42069,7.12312312,8.78993393
10:23.1,42069,12.73057729,15.70953238
10:24.1,42069,19.43567895,23.98362782
10:25.1,42069,18.30327894,22.58624621
10:26.1,42069,12.00350242,14.81232199
10:27.1,42069,13.5602912,16.73339934
10:28.1,42069,17.71806782,21.86409569
10:29.1,42069,22.98678208,28.36568909
10:30.1,42069,27.67079078,34.14575582
10:31.1,42069,30.36387318,37.4690195
10:32.1,42069,36.41468043,44.93571565
10:33.1,42069,15.56235189,19.20394223
10:34.1,42069,18.09698232,22.33167618
10:35.1,42069,13.19710019,16.28522163
10:36.1,42069,11.08680517,13.68111758
10:37.1,42069,17.26942103,21.31046555
10:38.1,42069,16.71151427,20.62200861
10:39.1,42069,13.56945336,16.74470545
10:40.1,42069,17.73199582,21.88128284
10:41.1,42069,9.90983953,12.22874198
10:42.1,42069,13.2034941,16.29311172
10:43.1,42069,24.92977807,30.76334614
10:44.1,42069,17.88495082,22.07002931
10:45.1,42069,16.51334942,20.37747318
10:46.1,42069,31.15435152,38.44446978
10:47.1,42069,26.45529011,32.645828
10:48.1,42069,37.81324198,46.6615406
10:49.1,42069,33.67665709,41.55699485
10:50.1,42069,25.33262637,31.26046094
10:51.1,42069,29.56939917,36.48863858
10:52.1,42069,31.91441328,39.38238599
10:53.1,42069,28.45059477,35.10803395
10:54.1,42069,34.86921539,43.02861179
10:55.1,42069,41.14221662,50.76949531
10:56.1,42069,34.84800876,43.00244281
10:57.1,42069,28.21387257,34.81591875
10:58.1,42069,49.90557014,61.58347355
10:59.1,42069,49.13659964,60.63456396
11:00.1,42069,15.50925673,19.1384228
11:01.1,42069,24.71439127,30.49755883
11:02.1,42069,12.24613112,15.1117258
11:03.1,42069,13.78129357,17.00611627
11:04.1,42069,12.79628441,15.79061496
11:05.1,42069,15.75435231,19.44087075
11:06.1,42069,6.95752776,8.585589256
11:07.1,42069,17.07070744,21.06525298
11:08.1,42069,16.68660507,20.59127066
11:09.1,42069,15.55283271,19.19219556
11:10.1,42069,9.69715645,11.96629106
11:11.1,42069,10.31050586,12.72316423
11:12.1,42069,12.9868995,16.02583398
11:13.1,42069,7.78027074,9.600854093
11:14.1,42069,13.97910571,17.25021645
11:15.1,42069,22.57517102,27.85776104
11:16.1,42069,32.31617994,39.87816605
11:17.1,42069,24.11872036,29.76250092
11:18.1,42069,25.29235168,31.21076197
11:19.1,42069,36.25180699,44.73472983
11:20.1,42069,26.89412285,33.1873476
11:21.1,42069,23.57013099,29.08554164
11:22.1,42069,23.9445986,29.54763467
11:23.1,42069,26.65299081,32.88979066
11:24.1,42069,35.86073169,44.25214291
11:25.1,42069,32.80788222,40.48492666
11:26.1,42069,19.61009374,24.19885568
11:27.1,42069,20.04052309,24.73000549
11:28.1,42069,24.88919307,30.71326425
11:29.1,42069,20.64997511,25.48206929
11:30.1,42069,22.00563485,27.1549534
11:31.1,42069,24.36153245,30.06213104
11:32.1,42069,11.65007965,14.37619829
11:33.1,42069,5.38398307,6.643835108
11:34.1,42069,12.59668547,15.54430987
11:35.1,42069,11.48514648,14.17267076
11:36.1,42069,27.68067213,34.15794941
11:37.1,42069,20.83587188,25.7114659
11:38.1,42069,12.44855397,15.3615156
11:39.1,42069,18.44828614,22.7651851
11:40.1,42069,22.21016578,27.40734457
11:41.1,42069,13.01532549,16.06091165
11:42.1,42069,11.46055899,14.14232979
