time,processid,virtual,private
10:22.1,42069,7.12312312,12.46546546
10:23.1,42069,12.73057729,22.27851026
10:24.1,42069,19.43567895,34.01243816
10:25.1,42069,18.30327894,32.03073815
10:26.1,42069,12.00350242,21.00612924
10:27.1,42069,13.5602912,23.7305096
10:28.1,42069,17.71806782,31.00661869
10:29.1,42069,22.98678208,40.22686864
10:30.1,42069,27.67079078,48.42388387
10:31.1,42069,30.36387318,53.13677807
10:32.1,42069,36.41468043,63.72569075
10:33.1,42069,15.56235189,27.23411581
10:34.1,42069,18.09698232,31.66971906
10:35.1,42069,13.19710019,23.09492533
10:36.1,42069,11.08680517,19.40190905
10:37.1,42069,17.26942103,30.2214868
10:38.1,42069,16.71151427,29.24514997
10:39.1,42069,13.56945336,23.74654338
10:40.1,42069,17.73199582,31.03099269
10:41.1,42069,9.90983953,17.34221918
10:42.1,42069,13.2034941,23.10611468
10:43.1,42069,24.92977807,43.62711162
10:44.1,42069,17.88495082,31.29866394
10:45.1,42069,16.51334942,28.89836149
10:46.1,42069,31.15435152,54.52011516
10:47.1,42069,26.45529011,46.29675769
10:48.1,42069,37.81324198,66.17317347
10:49.1,42069,33.67665709,58.93414991
10:50.1,42069,25.33262637,44.33209615
10:51.1,42069,29.56939917,51.74644855
10:52.1,42069,31.91441328,55.85022324
10:53.1,42069,28.45059477,49.78854085
10:54.1,42069,34.86921539,61.02112693
10:55.1,42069,41.14221662,71.99887909
10:56.1,42069,34.84800876,60.98401533
10:57.1,42069,28.21387257,49.374277
10:58.1,42069,49.90557014,87.33474775
10:59.1,42069,49.13659964,85.98904937
11:00.1,42069,15.50925673,27.14119928
11:01.1,42069,24.71439127,43.25018472
11:02.1,42069,12.24613112,21.43072946
11:03.1,42069,13.78129357,24.11726375
11:04.1,42069,12.79628441,22.39349772
11:05.1,42069,15.75435231,27.57011654
11:06.1,42069,6.95752776,12.17567358
11:07.1,42069,17.07070744,29.87373802
11:08.1,42069,16.68660507,29.20155887
11:09.1,42069,15.55283271,27.21745724
11:10.1,42069,9.69715645,16.97002379
11:11.1,42069,10.31050586,18.04338526
11:12.1,42069,12.9868995,22.72707413
11:13.1,42069,7.78027074,13.6154738
11:14.1,42069,13.97910571,24.46343499
11:15.1,42069,22.57517102,39.50654929
11:16.1,42069,32.31617994,56.5533149
11:17.1,42069,24.11872036,42.20776063
11:18.1,42069,25.29235168,44.26161544
11:19.1,42069,36.25180699,63.44066223
11:20.1,42069,26.89412285,47.06471499
11:21.1,42069,23.57013099,41.24772923
11:22.1,42069,23.9445986,41.90304755
11:23.1,42069,26.65299081,46.64273392
11:24.1,42069,35.86073169,62.75628046
11:25.1,42069,32.80788222,57.41379389
11:26.1,42069,19.61009374,34.31766405
11:27.1,42069,20.04052309,35.07091541
